league_division,match_date,home_team,away_team,full_time_home_team_goals,full_time_away_team_goals,full_time_result,half_time_home_team_goals,half_time_away_team_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,season
e0,2016-10-15,arsenal,swansea,3,2,h,2,1,h,j moss,16,13,6,6,7,10,5,6,0,1,1,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-15,bournemouth,hull,6,1,h,3,1,h,l mason,22,11,10,4,8,14,5,4,0,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-15,chelsea,leicester,3,0,h,2,0,h,a marriner,16,5,6,0,6,12,8,5,1,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-15,crystal palace,west ham,0,1,a,0,1,a,m atkinson,12,12,3,4,12,13,7,6,1,3,0,1,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-15,man city,everton,1,1,d,0,0,d,m oliver,19,3,8,2,7,9,13,1,0,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-15,stoke,sunderland,2,0,h,2,0,h,m jones,18,11,6,1,10,13,6,4,1,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-15,west brom,tottenham,1,1,d,0,0,d,k friend,8,20,4,8,14,10,5,8,2,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-16,middlesbrough,watford,0,1,a,0,0,d,r east,10,4,3,2,15,10,4,6,4,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-16,southampton,burnley,3,1,h,0,0,d,m dean,34,6,14,1,11,10,8,4,1,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-17,liverpool,man united,0,0,d,0,0,d,a taylor,9,7,3,1,14,20,3,1,0,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-22,arsenal,middlesbrough,0,0,d,0,0,d,m dean,9,11,5,4,6,13,8,3,1,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-22,bournemouth,tottenham,0,0,d,0,0,d,c pawson,8,16,1,4,10,15,7,4,2,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-22,burnley,everton,2,1,h,1,0,h,m jones,9,20,3,8,16,15,2,8,2,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-22,hull,stoke,0,2,a,0,1,a,k friend,9,12,2,6,16,8,5,7,2,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-22,leicester,crystal palace,3,1,h,1,0,h,m oliver,17,23,4,7,10,8,8,8,0,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-22,liverpool,west brom,2,1,h,2,0,h,n swarbrick,21,6,7,1,9,13,3,2,1,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-22,swansea,watford,0,0,d,0,0,d,p tierney,11,10,5,2,15,16,7,2,2,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-22,west ham,sunderland,1,0,h,0,0,d,r madley,20,10,3,2,10,13,6,2,2,5,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-23,chelsea,man united,4,0,h,2,0,h,m atkinson,14,16,6,5,7,17,5,7,3,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-23,man city,southampton,1,1,d,0,1,a,m clattenburg,14,6,3,2,11,10,10,3,3,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-29,crystal palace,liverpool,2,4,a,2,3,a,a marriner,7,17,6,10,15,5,3,3,1,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-29,man united,burnley,0,0,d,0,0,d,m clattenburg,37,7,11,1,12,9,19,1,1,3,1,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-29,middlesbrough,bournemouth,2,0,h,1,0,h,s attwell,10,15,3,3,3,5,4,7,1,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-29,sunderland,arsenal,1,4,a,0,1,a,m atkinson,3,21,1,7,9,13,0,8,4,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-29,tottenham,leicester,1,1,d,1,0,h,r madley,22,6,5,1,11,20,8,1,3,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-29,watford,hull,1,0,h,0,0,d,j moss,22,8,0,2,13,8,7,2,1,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-29,west brom,man city,0,4,a,0,2,a,l mason,9,21,1,8,17,10,1,7,4,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-30,everton,west ham,2,0,h,0,0,d,a taylor,17,13,6,3,15,12,8,8,2,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-30,southampton,chelsea,0,2,a,0,1,a,m jones,9,13,1,7,13,16,7,3,0,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-31,stoke,swansea,3,1,h,1,1,d,m oliver,17,14,4,6,7,14,6,4,2,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-05-11,bournemouth,sunderland,1,2,a,1,1,d,m dean,22,9,7,4,14,17,12,2,3,2,0,1,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-05-11,burnley,crystal palace,3,2,h,2,0,h,a taylor,14,16,7,5,11,12,4,7,1,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-05-11,chelsea,everton,5,0,h,3,0,h,r madley,21,1,9,0,5,16,4,2,0,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-05-11,man city,middlesbrough,1,1,d,1,0,h,k friend,25,5,7,3,7,15,8,2,1,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-05-11,west ham,stoke,1,1,d,0,0,d,a marriner,9,12,2,4,11,10,6,4,4,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-06-11,arsenal,tottenham,1,1,d,1,0,h,m clattenburg,15,10,2,3,11,17,7,2,1,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-06-11,hull,southampton,2,1,h,0,1,a,g scott,6,19,2,7,13,15,1,10,0,5,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-06-11,leicester,west brom,1,2,a,0,0,d,c pawson,5,11,2,5,8,8,5,6,0,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-06-11,liverpool,watford,6,1,h,3,0,h,m oliver,28,11,17,8,14,10,6,3,1,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-06-11,swansea,man united,1,3,a,0,3,a,n swarbrick,6,9,1,3,9,16,2,0,0,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-19,crystal palace,man city,1,2,a,0,1,a,r madley,9,10,2,4,12,15,2,7,1,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-19,everton,swansea,1,1,d,0,1,a,m atkinson,14,5,6,3,13,12,10,3,4,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-19,man united,arsenal,1,1,d,0,0,d,a marriner,12,5,5,1,14,11,10,4,3,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-19,southampton,liverpool,0,0,d,0,0,d,m clattenburg,3,15,0,2,8,11,1,8,1,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-19,stoke,bournemouth,0,1,a,0,1,a,r east,14,9,6,2,17,10,3,4,3,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-19,sunderland,hull,3,0,h,1,0,h,l mason,11,17,4,7,9,8,2,8,1,0,1,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-19,tottenham,west ham,3,2,h,0,1,a,m dean,14,11,6,3,13,16,4,5,3,2,0,1,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-19,watford,leicester,2,1,h,2,1,h,n swarbrick,10,10,3,2,12,18,4,6,2,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-20,middlesbrough,chelsea,0,1,a,0,1,a,j moss,12,13,1,3,13,10,2,3,2,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-21,west brom,burnley,4,0,h,3,0,h,m jones,16,5,6,2,12,12,4,3,0,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-26,burnley,man city,1,2,a,1,1,d,a marriner,10,21,5,5,5,15,5,8,2,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-26,chelsea,tottenham,2,1,h,1,1,d,m oliver,9,12,5,6,13,16,3,8,2,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-26,hull,west brom,1,1,d,0,1,a,p tierney,10,11,4,2,7,10,2,6,3,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-26,leicester,middlesbrough,2,2,d,1,1,d,l mason,11,6,3,2,15,12,2,3,4,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-26,liverpool,sunderland,2,0,h,0,0,d,a taylor,27,6,7,1,5,9,9,4,1,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-26,swansea,crystal palace,5,4,h,1,1,d,k friend,18,12,9,4,12,24,10,6,4,5,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-27,arsenal,bournemouth,3,1,h,1,1,d,m jones,16,9,3,3,12,13,3,10,3,5,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-27,man united,west ham,1,1,d,1,1,d,j moss,17,6,8,2,16,16,8,4,3,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-27,southampton,everton,1,0,h,1,0,h,c pawson,17,13,7,1,11,15,5,2,0,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-11-27,watford,stoke,0,1,a,0,1,a,r madley,11,14,2,1,24,14,3,3,3,0,1,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-03-12,crystal palace,southampton,3,0,h,2,0,h,n swarbrick,9,17,4,3,11,13,4,9,3,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-03-12,man city,chelsea,1,3,a,1,0,h,a taylor,14,10,5,4,14,9,9,2,2,3,2,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-03-12,stoke,burnley,2,0,h,2,0,h,m clattenburg,10,14,4,4,7,13,4,9,3,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-03-12,sunderland,leicester,2,1,h,0,0,d,a marriner,22,17,6,5,8,12,3,4,3,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-03-12,tottenham,swansea,5,0,h,2,0,h,j moss,28,1,15,0,11,17,5,0,0,4,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-03-12,west brom,watford,3,1,h,2,0,h,g scott,11,17,3,5,12,8,3,4,2,1,0,1,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-03-12,west ham,arsenal,1,5,a,0,1,a,c pawson,10,19,3,10,10,11,3,2,3,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-04-12,bournemouth,liverpool,4,3,h,0,2,a,r madley,12,10,8,3,9,17,4,9,2,2,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-04-12,everton,man united,1,1,d,0,1,a,m oliver,13,10,6,2,13,11,6,3,2,3,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-05-12,middlesbrough,hull,1,0,h,0,0,d,m dean,16,6,4,2,6,11,13,7,1,1,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
e0,2016-10-12,arsenal,stoke,3,1,h,1,1,d,l mason,21,12,6,5,9,6,7,7,0,0,0,0,../../data/external/national leagues\season 2016-2017\e0_english premier league_2016-2017.csv
